MàJ;ɛm.a.ʒi
Mamertin;ma.meʁ.tɛ̃
Mamertine;ma.meʁ.tin
Mamertines;ma.meʁ.tin
Mamertins;ma.meʁ.tɛ̃
Mammografie;ɛɡ.ze.ky.tiv
Mammut;miʁ.li.tɔn
Mané;ma.ne
Man;mɑ̃
Manama;ma.na.ma
Manamah;ma.na.ma
Manami;ma.na.mi
Manamo;ma.na.ma
Manati;ma.nat
Manceau;mɑ̃.so
Manceaux;mɑ̃.so
Mancebourgeois;mɑ̃s.buʁ.ʒwa
Mancelle;mɑ̃.sɛl
Manche;mɑ̃ʃ
Manchuria;mɑ̃d.ʃu.ʁi
Manchuriet;mɑ̃d.ʃu.ʁi
Manciuria;mɑ̃d.ʃu.ʁi
Mancunien;mɑ̃.ky.njɛ̃
Mancunienne;mɑ̃.ku.njɛn
Mancuniennes;mɑ̃.ku.njɛn
Mancuniens;mɑ̃.ky.njɛ̃
Mandala;mɑ̃.da.la
Mandanes;mɑ̃.dan
Mandarinente;ɛɡ.ze.ky.tiv
Mandchourie;mɑ̃d.ʃu.ʁi
Mandel;ma.ʁi.ne
Mandela;man.dɛ.la
Mandeville;mɑ̃.də.vil
Mandevillois;mɑ̃d.vi.lwa
Mandibel;ɛɡ.ze.ky.tiv
Mandoline;miʁ.li.tɔ.nɛ
Mandschurei;mɑ̃d.ʃu.ʁi
Mandsjuria;mɑ̃d.ʃu.ʁi
Mandy;man.di
Mane;man
Manerbe;ma.nɛʁb
Mangaréva;mɑ̃.ɡa.ʁɛ.va
Mangareva;mɑ̃.ɡa.ʁɛ.va
Manhac;ma.ɲak
Manhacois;ma.ɲa.kwa
Manhacoise;ma.ɲa.kwaz
Manhacoises;ma.ɲa.kwaz
Manhattan;ma.na.tan
Mani;ma.ni
Manicois;ma.ni.kwa
Manier;ma.nje
Manilène;ma.ni.lɛn
Manillène;ma.ni.jɛn
Manillais;ma.ni.jɛ
Manille;ma.nij
Manipur;ma.ni.puʁ
Manitoba;ma.ni.tɔ.ba
Manitobain;ma.ni.tɔ.bɛ̃
Manitobaine;ma.ni.tɔ.bɛn
Manitobaines;ma.ni.tɔ.bɛn
Manitobains;ma.ni.tɔ.bɛ̃
Manni;ma.ni
Mannois;ma.nwa
Mannoise;ma.nwaz
Mannoises;ma.nwaz
Mannschaft;man.ʃaft
Manochon;ma.nɔ.ʃɔ̃
Manochonne;ma.nɔ.ʃɔn
Manois;ma.nwa
Manon;ma.nɔ̃
Manonvilloise;ma.nɔ̃.vi.lwaz
Manonvilloises;ma.nɔ̃.vi.lwaz
Manou;ma.nu
Manouche;ma.nuʃ
Manouches;ma.nuʃ
Mans;mɑ̃
Mansfieldien;manz.fil.djɛ̃
Mansois;mɑ̃.swa
Mansoise;mɑ̃.swaz
Mantilly;mɑ̃.ti.ji
Mantoue;mɑ̃.tu
Mantsjoerije;mɑ̃d.ʃu.ʁi
Manu;ma.ny
Manuel;ma.nɥɛl
Manuela;ma.nɥe.la
Manuella;ma.nɥɛ.la
Manuzienne;ma.nu.zjɛn
Manuziennes;ma.nu.zjɛn
Manuziens;ma.nu.zjɛ̃
Mao;ma.o
Maorisy;mɔ.ʁis
Mapuche;ma.pyʃ
Mapuches;ma.pyʃ
Maputo;ma.pu.to
Maquis;ma.ki
Maréchaux;ma.ʁe.ʃo
Maraîchine;ma.ʁɛ.ʃin
Maraîchines;ma.ʁɛ.ʃin
Maraîchins;ma.ʁɛ.ʃɛ̃
Mara;ma.ʁa
Marat;ma.ʁa
Marathe;ma.ʁat
Marathon;ma.ʁa.tɔ̃
Maraton;ma.ʁa.tɔ̃
Maratona;me.ʃɑ̃t.mɑ̃
Marbaisien;maʁ.bɛ.zjɛ̃
Marc;maʁk
Marcei;maʁ.sɛ
Marcel;maʁ.sɛl
Marcelin;maʁ.sə.lɛ̃
Marceline;maʁ.sə.lin
Marcelle;maʁ.sɛl
Marcellin;maʁ.sɛ.lɛ̃
Marcellinois;maʁ.sɛ.li.nwa
Marcellois;maʁ.sɛ.lwa
Marcelois;maʁ.sə.lwa
Marchainville;maʁ.ʃɛ̃.vil
Marchamp;maʁ.ʃɑ̃
Marchastéloises;maʁ.ʃas.te.lwaz
Marchemaisons;maʁʃ.mɛ.zɔ̃
Marchi;maʁ.ka
Marcien;maʁ.sjɛ̃
Marcigny;maʁ.si.ɲi
Marcillais;maʁ.si.jɛ
Marcilly;maʁ.si.li
Marcionites;maʁ.sjo.nit
Marcois;maʁ.kwa
Marconiste;maʁ.kɔ.nist
Marcosiens;maʁ.kɔ.zjɛ̃
Mardilly;maʁdi.ji
Marga;mɑ̃ʃ
Margaret;maʁ.ɡa.ʁɛt
Margarita;myl.tip.lat.fɔʁm
Margaritain;maʁ.ɡa.ʁi.tɛ̃
Margaritien;maʁ.ɡa.ʁi.sjɛ̃
Margency;maʁ.ʒɑ̃.si
Margot;maʁ.ɡo
Margoton;maʁ.ɡɔ.tɔ̃
Margueritain;maʁ.ɡə.ʁi.tɛ̃
Marguerite;maʁ.ɡə.ʁit
Margueritien;maʁ.ɡə.ʁi.tjɛ̃
Margueritois;maʁ.ɡə.ʁi.twa
Mari;ma.ʁi
Maria;ma.ʁja
Marian;ma.ʁjɑ̃
Mariana;ma.ʁja.na
Marianne;ma.ʁjan
Maricourtois;ma.ʁi.kuʁ.twa
Marie;ma.ʁi
Marielandais;ma.ʁi.lɑ̃.dɛ
Marielle;ma.ʁjɛl
Mariemonnois;ma.ʁi.mɔ.nwa
Marien;ma.ʁjɛ̃
Marietta;ma.ʁjɛ.ta
Mariette;ma.ʁjɛt
Marigny;ma.ʁi.ɲi
Marigyptien;ma.ʁi.ʒip.sjɛ̃
Marihuana;ma.ʁi.ʁɥa.na
Marilacois;ma.ʁi.la.kwa
Marille;mɔ.na.ka.li.ze
Marina;ma.ʁi.na
Marinade;ɛɡ.ze.ky.tiv
Marine;ma.ʁin
Marines;ma.ʁin
Marinette;ma.ʁi.nɛt
Mario;ma.ʁjo
Mariole;ma.ʁjɔl
Marion;ma.ʁjɔ̃
Marius;ma.ʁjys
Marivault;ma.ʁi.vo
Marivaux;ma.ʁi.vo
Marjolain;maʁ.ʒɔ.lɛ̃
Marjolaine;maʁ.ʒɔ.lɛn
Marka;maʁ.ka
Markas;maʁ.ka
Marlène;maʁ.len
Marlésienne;maʁ.le.zjɛn
Marlésiennes;maʁ.le.zjɛn
Marlaine;maʁ.len
Marlenne;maʁ.len
