iconifierons;i.ko.ni.fi.ʁɔ̃
iconifieront;i.ko.ni.fi.ʁɔ̃
iconifies;i.ko.ni.fi
iconifiez;i.ko.ni.fje
iconifiiez;i.ko.ni.fi.je
iconifiions;i.ko.ni.fi.jɔ̃
iconifions;i.ko.ni.fjɔ̃
iconique;ikɔ.nik
iconiques;i.pɔ.ɡli.se.mjɑ̃
iconisâmes;i.ko.ni.zam
iconisât;i.ko.ni.za
iconisâtes;i.ko.ni.zat
iconisèrent;i.ko.ni.zɛʁ
iconisé;i.ko.ni.ze
iconisée;i.ko.ni.ze
iconisées;i.ko.ni.ze
iconisés;i.ko.ni.ze
iconis;i.kon
iconisa;i.ko.ni.za
iconisai;i.ko.ni.ze
iconisaient;i.ko.ni.zɛ
iconisais;i.ko.ni.zɛ
iconisait;i.ko.ni.zɛ
iconisant;i.ko.ni.zɑ̃
iconisas;i.ko.ni.za
iconisasse;i.ko.ni.zas
iconisassent;i.ko.ni.zas
iconisasses;i.ko.ni.zas
iconisassiez;i.ko.ni.za.sje
iconisassions;i.ko.ni.za.sjɔ̃
iconise;i.ko.niz
iconisent;i.ko.niz
iconiser;i.kɔ.ni.ze
iconisera;i.ko.ni.zə.ʁa
iconiserai;i.ko.ni.zə.ʁe
iconiseraient;i.ko.ni.zə.ʁɛ
iconiserais;i.ko.ni.zə.ʁɛ
iconiserait;i.ko.ni.zə.ʁɛ
iconiseras;i.ko.ni.zə.ʁa
iconiserez;i.ko.ni.zə.ʁe
iconiseriez;i.ko.ni.zə.ʁje
iconiserions;i.ko.ni.zə.ʁjɔ̃
iconiserons;i.ko.ni.zə.ʁɔ̃
iconiseront;i.ko.ni.zə.ʁɔ̃
iconises;i.ko.niz
iconisez;i.ko.ni.ze
iconisiez;i.ko.ni.zje
iconisions;i.ko.ni.zjɔ̃
iconisons;i.ko.ni.zɔ̃
iconoclasie;i.kɔ.nɔk.la.zi
iconoclasies;i.kɔ.nɔk.la.zi
iconoclasme;i.kɔ.nɔk.lasm
iconoclasmes;i.kɔ.nɔk.lasm
iconoclaste;i.kɔ.nɔk.last
iconoclastie;i.ko.nok.las.ti
iconoclasties;i.pɔ.ɡli.se.mjɑ̃
iconogène;i.ko.no.ʒɛn
iconogènes;i.pɔ.ɡli.se.mjɑ̃
iconographe;i.zɔp
iconographie;i.kɔ.nɔ.ɡʁa.fi
iconographies;i.kɔ.nɔ.ɡʁa.fi
iconographique;i.kɔ.nɔ.ɡʁa.fik
iconographiques;i.kɔ.nɔ.ɡʁa.fik
iconolâtre;i.kɔ.nɔ.lɑ.tʁ
iconolâtres;i.pɔ.ɡli.se.mjɑ̃
iconolâtrie;i.kɔ.nɔ.lɑ.tʁi
iconolâtries;i.kɔ.nɔ.lɑ.tʁi
iconolâtrique;i.kɔ.nɔ.lɑ.tʁik
iconolâtriques;i.pɔ.ɡli.se.mjɑ̃
iconologie;i.de.ɔ.lɔ.ʒist
iconologiste;i.kɔ.nɔ.lɔ.ʒist
iconologue;i.kɔ.nɔ.lɔɡ
iconologues;i.kɔ.nɔ.lɔɡ
iconomètre;i.ko.no.mɛtʁ
iconomètres;i.kɔ.nɔ.lɔɡ
iconomécanophile;i.kɔ.nɔ.me.ka.nɔ.fil
iconométrie;i.ko.no.me.tʁi
iconomanie;i.kɔ.nɔ.ma.ni
iconomatique;i.ko.no.ma.tik
iconophile;i.kɔ.nɔ.fil
iconophilie;i.kɔ.nɔ.fi.li
iconophilies;i.kɔ.nɔ.fi.li
iconophore;i.kɔ.nɔ.fɔʁ
iconophores;i.kɔ.nɔ.lɔɡ
iconorrhée;i.kɔ.nɔ.ʁe
iconoscope;i.ko.no.skɔp
iconostase;i.kɔ.nɔs.taz
iconostases;i.kɔ.nɔ.lɔɡ
iconum;i.kon
icosaèdre;i.ko.za.ɛdʁ
icosaèdres;i.ko.za.ɛdʁ
icosaédrique;i.kɔ.sa.e.dʁik
icosaédriques;i.kɔ.sa.e.dʁik
icosagone;i.kɔ.za.ɡɔn
icosagones;i.kɔ.za.ɡɔn
icosandre;i.kɔ.zɑ̃dʁ
icosandres;i.kɔ.zɑ̃dʁ
icosandrie;i.kɔ.zɑ̃.dʁi
icosandrique;i.kɔ.zɑ̃.dʁik
icosane;i.kɔ.zan
icosanes;i.kɔ.za.ɡɔn
icosanoïde;i.kɔ.za.nɔ.id
icosanoïdes;i.kɔ.za.nɔ.id
icosanoide;i.kɔ.za.nɔ.id
icosapentaénoïque;i.kɔ.za.pɛ̃.ta.nɔ.ik
icosaspheres;ɛɡ.zy.ma.sjɔ̃
icosicosidodécaèdre;i.kɔ.zi.kɔ.zi.dɔ.de.ka.ɛdʁ
icosicosidodécaèdres;i.kɔ.zi.kɔ.zi.dɔ.de.ka.ɛdʁ
icosidodécaèdre;i.kɔ.zi.dɔ.de.ka.ɛdʁ
icosidodécaèdres;i.kɔ.zi.dɔ.de.ka.ɛdʁ
icosidodécadodécaèdre;i.kɔ.zi.dɔ.de.ka.dɔ.de.ka.ɛdʁ
icosidodécadodécaèdres;i.kɔ.zi.dɔ.de.ka.dɔ.de.ka.ɛdʁ
icosihémidodécaèdre;i.kɔ.zi.emi.dɔ.de.ka.ɛdʁ
icosihémidodécaèdres;i.kɔ.zi.emi.dɔ.de.ka.ɛdʁ
ictère;ik.tɛʁ
ictéricie;i.kte.ʁi.si
ictérique;ik.te.ʁik
ictérode;i.kte.ʁɔd
ictérodes;i.kɔ.za.ɡɔn
ictomètre;ik.tɔ.mɛtʁ
ictomètres;ik.tɔ.mɛtʁ
ictus;ik.tys
icxi;ɛ̃p.li.ka.tyʁ
idéâmes;i.de.am
idéât;i.de.a
idéâtes;i.de.at
idéèrent;i.de.ɛʁ
idéé;i.de.e
idéée;i.de.e
idéées;i.de.e
idéés;i.de.e
idéa;i.de.a
idéai;i.de.e
idéaient;i.de.ɛ
idéais;i.de.ɛ
idéait;i.de.ɛ
idéal;i.de.al
idéale;i.de.al
idéalement;i.de.al.mɑ̃
idéales;i.de.al
idéalisâmes;i.de.a.li.zam
idéalisât;i.de.a.li.za
idéalisâtes;i.de.a.li.zat
idéalisèrent;i.de.a.li.zɛʁ
idéalisé;i.de.a.li.ze
idéalisée;i.de.a.li.ze
idéalisées;i.de.a.li.ze
idéalisés;i.de.a.li.ze
idéalisa;i.de.a.li.za
idéalisai;i.de.a.li.ze
idéalisaient;i.de.a.li.zɛ
idéalisais;i.de.a.li.zɛ
idéalisait;i.de.a.li.zɛ
idéalisant;i.de.a.li.zɑ̃
idéalisas;i.de.a.li.za
idéalisasse;i.de.a.li.zas
idéalisassent;i.de.a.li.zas
idéalisasses;i.de.a.li.zas
idéalisassiez;i.de.a.li.za.sje
idéalisassions;i.de.a.li.za.sjɔ̃
idéalisation;i.de.a.li.za.sjɔ̃
idéalisations;i.kɔ.za.ɡɔn
idéalise;i.de.a.liz
idéalisent;i.de.a.liz
idéaliser;i.de.a.li.ze
idéalisera;i.de.a.li.zə.ʁa
idéaliserai;i.de.a.li.zə.ʁe
