Hébé;e.be
Hermaphrodite;ɛʁ.ma.fʁɔ.dit
Hermeline;ɛʁ.mə.lin
Hermenegilda;ɛ.ɡza.kɔ.za.nɔ.ik
Hermet;ɛʁme
Hermin;ɛ.ɡza.kɔ.za.nɔ.ik
Hermina;ɛ.ɡza.kɔ.za.nɔ.ik
Herminica;ɛ.ɡza.kɔ.za.nɔ.ik
Herminij;ɛ.ɡza.kɔ.za.nɔ.ik
Hermois;ɛʁ.mwa
Hermoise;ɛʁ.mwaz
Hermoises;ɛʁ.mwaz
Hermosillo;e.ɡɔ.fɔ.ni
Herodot;e.ʁo.dɔt
Herodotas;e.ʁo.dɔt
Herodotu;e.ʁo.dɔt
Heroin;i.ʁɑ̃
Herquevillaise;ɛʁ.kə.vi.lɛz
Herr;a.ʒe
Herrera;e.ɡɔ.si.te
Herrschaft;ɑ̃.ʒwɛ̃dʁ
Herschel;ɛʁ.ʃɛl
Herstal;ɛʁ.stal
Hersteller;at.las
Herstellung;o.to
Hertica;ɛ.ɡza.kɔ.za.nɔ.ik
Hertz;a.bɛl
Hervé;ɛʁ.ve
Herve;ɛʁv
Hervien;ɛʁ.vjɛ̃
Hervorming;a.ʁis.te
Herzog;y.bi.kɥi.te
Hesbaye;ɛs.baj
Hesloup;e.lu
Hespérides;ɛs.pe.ʁid
Hespérien;ɛs.pe.ʁjɛ̃
Hespagne;ɛs.paɲ
Hessen;at.las
Hessians;a.lɔ.pa.ti
Hesychasts;a.ka
Hetit;ɛ.ɡza.kɔ.za.nɔ.ik
Hettangien;ɛ.tɑ̃.ʒjɛ̃
Heugon;ø.ɡɔ̃
Heuland;ø.lɑ̃
Heurtevent;œʁ.tə.vɑ̃
Hexan;e.tan
Hezbollah;ɛz.bo.la
Hiberes;ɛɡ.za.ɡɔ.nit
Hibernie;i.bɛʁ.ni
Hieronymites;ɛ̃p.li.ka.tyʁ
Hierusalem;a.ɡʁi.jɔ̃
Higgsino;iɡ.zi.no
Hilaire;i.lɛʁ
Hilairemontais;i.lɛʁ.mɔ̃.tɛ
Hilda;il.da
Hildar;il.da
Hildari;il.da
Hildars;il.da
Hildegard;il.da
Hildegardar;il.da
Hildi;il.da
Hildiberg;il.da
Hildibergi;il.da
Hildibergs;il.da
Hildibergur;il.da
Hildibjargar;il.da
Hildibrand;il.da
Hildibrandi;il.da
Hildibrands;il.da
Hildibrandur;il.da
Hildigeir;il.da
Hildigeiri;il.da
Hildigeirs;il.da
Hildigunnar;il.da
Hildigunni;il.da
Hildigunnur;il.da
Hildimar;il.da
Hildimari;il.da
Hildimars;il.da
Hildimund;il.da
Hildimundar;il.da
Hildimundi;il.da
Hildimundur;il.da
Hilding;il.da
Hildingi;il.da
Hildings;il.da
Hildingur;il.da
Hildir;il.da
Hildis;il.da
Hildisif;il.da
Hildisifjar;il.da
Hildu;il.da
Hildur;il.da
Hilma;il.da
Hilmar;il.da
Hilmari;il.da
Hilmars;il.da
Hilmi;il.da
Hilmir;il.da
Hilmis;il.da
Hilmu;il.da
Himéros;i.me.ʁɔs
Himalia;i.ma.lja
Himeras;a.vjɔ.nik
Himeros;a.vjɔ.nik
Himinbjargar;il.da
Himmelfahrt;ɛlb
Himra;il.da
Himri;il.da
Hindar;il.da
Hindernis;ɛ̃.ti.mi.zə.ʁɛ
Hindistan;a.kus.tɔ.fɔ.bi
Hindiston;a.kus.tɔ.fɔ.bi
Hindiya;a.kus.tɔ.fɔ.bi
Hindostan;ɛ̃.dɔs.tɑ̃
Hindou;ɛ̃.du
Hindoustan;ɛ̃.dus.tɑ̃
Hindstan;a.kus.tɔ.fɔ.bi
Hindustan;e.pa.na.fɔʁ
Hinrichtung;ɑ̃ʃ.lus
Hinrik;il.da
Hinrika;il.da
Hinriki;il.da
Hinriks;il.da
Hinriku;il.da
Hint;e.pa.na.fɔʁ
Hinterland;in.tɛʁ.lɑ̃d
Hippocrate;i.pɔk.ʁat
Hippolyte;i.po.lit
Hippolytois;i.pɔ.li.twa
Hirnantien;iʁ.nɑ̃.tjɛ̃
Hiroshima;i.ʁɔ.ʃi.ma
Hirsch;a.ʒe
Hirti;il.da
Hispanicizing;a.kal.mi.ne
Hispanie;is.pa.ni
Hispaniola;is.pa.ɲɔ.la
Histoire;is.twaʁ
Historiker;i.pɛʁp.las.ti
Hittite;i.tit
Hittites;i.tit
Hitzkopf;a.sɔ̃.bʁis.mɑ̃
Hiwwel;al.sɛn
Hjalta;il.da
Hjaltey;il.da
Hjalteyjar;il.da
Hjalteyju;il.da
Hjalti;il.da
Hjarnar;il.da
Hjarnari;il.da
Hjarnars;il.da
Hjartar;il.da
Hlé;il.da
Hlégest;il.da
Hlégesti;il.da
Hlégests;il.da
Hlégestur;il.da
Hlér;il.da
Hlés;il.da
Hlakkar;il.da
Hlina;il.da
Hlini;il.da
Hlyn;il.da
Hlyni;il.da
Hlyns;il.da
Hlynur;il.da
Hmaob;a.ny.la.tiv
Hnefil;il.da
Hnefill;il.da
Hnefils;il.da
Hnefli;il.da
Hnikar;il.da
Hnikari;il.da
Hnikarr;il.da
Hnikars;il.da
Hochelagais;ɔʃ.la.ɡɛ
Hochmut;an
Hochofen;e.pa
Hochschule;aʁ.ɡo
Hodent;ɔ.dɑ̃
Hoei;at
Hoeilaart;uj.laʁt
Hogmanay;e.ʒɛ
Hokkaïdo;ɔ.kaj.do
Hokkaido;ɔ.kaj.do
Holgeir;il.da
Holgeiri;il.da
Holgeirs;il.da
Holismus;ɛlb
Hollandaise;ɔ.lɑ̃.dɛz
Hollandaises;ɔ.lɑ̃.dɛz
Hollande;ɔ.lɑ̃d
Hollander;ɔ.lɑ̃.dœʁ
Hollandes;ɔ.lɑ̃d
Hollands;e.za
Holly;i.vɑ̃
Hollywood;ɔ.li.wud
Holocène;ɔ.lɔ.sɛn
Holocènes;ɔ.lɔ.sɛn
Holocauste;ɔ.lo.kost
Holoreim;ɔ.lo.ʁim
Holstein;ø.nɔ.tu.ʁis.tik
Holta;il.da
Holti;il.da
Holzklapper;ɔ.to.ʁə.lak.sam
Homère;ɔ.mɛʁ
Homér;ɔ.mɛʁ
Homérien;ɔ.me.ʁjɛ̃
Homérosz;ɔ.mɛʁ
Homepage;at.las
Homer;ɔ.mɛʁ
Homeras;ɔ.mɛʁ
Homeri;ɔ.mɛʁ
Homero;ɔ.mɛʁ
Homeros;ɔ.mɛʁ
Homerus;ɔ.mɛʁ
Hominoïdés;ɔ.mi.nɔ.i.de
Hominoïdes;ɔ.mi.nɔ.id
Homme;ɔm
Hommen;o.mɛn
Hommens;o.mɛn
Homonym;ɔ.mɔ.nim
Homs;ɔms
Hondurègne;ɔ̃.dy.ʁɛɲ
Hondurègnes;ɔ̃.dy.ʁɛɲ
Honduran;ɔ̃.dy.ʁjɛ̃
Hondurans;ɔ̃.dy.ʁjɛ̃
Honduras;ɔ̃.dy.ʁas
Hondurasa;ɔ̃.dy.ʁas
Hondurien;ɔ̃.dy.ʁjɛ̃
Hondurienne;ɔ̃.dy.ʁjɛn
Honduriennes;ɔ̃.dy.ʁjɛn
Honduriens;ɔ̃.dy.ʁjɛ̃
Honduro;ɔ̃.dy.ʁas
Honfleur;ɔ̃.flœʁ
Honfleurois;ɔ̃.flœ.ʁwa
Hongkong;ɔ̃ɡ.kɔ̃ɡ
Hongkongais;ɔ̃ɡ.kɔ̃.ɡɛ
Hongkongaise;ɔ̃ɡ.kɔ̃.ɡɛz
Hongkongaises;ɔ̃ɡ.kɔ̃.ɡɛz
Hongkonger;ɑ̃.ti.ta.tif
Hongrie;ɔ̃.ɡʁi
Hongrois;ɔ̃.ɡʁwa
Hongroise;ɔ̃.ɡʁwaz
Hongroises;ɔ̃ɡ.ʁwaz
Honiara;ɔ.nja.ʁa
Honoré;ɔ.nɔ.ʁe
Honoracien;ɔ.nɔ.ʁa.sjɛ̃
Honorien;ɔ.nɔ.ʁjɛ̃
Honorine;ɔ.nɔ.ʁin
Honorois;ɔ.nɔ.ʁwa
Honoroise;ɔ.nɔ.ʁwa
Honshu;ɔn.ʃy
Honza;ɔ.lɛɡ
Hopien;o.pjɛ̃
Horace;ɔ.ʁas
Horillon;ɔ.ʁi.jɔ̃
Horloge;ɔʁ.lɔʒ
Horn;ɑ̃ʃ.lus
Hornochse;ɑ̃ʃ.lus
Hortense;ɔʁ.tɑ̃s
Horus;ɔ.ʁys
Hospitalière;ɔs.pi.ta.ljɛʁ
Hospitalières;ɔs.pi.ta.ljɛʁ
Hospitalier;ɔs.pi.ta.lje
Hospitaliers;ɔs.pi.ta.lje
Hostalric;ɑ̃.tʁɛn
Hottentottensoldatententententoonstellingen;a.mɥis.mɑ̃
Hottentottententententoonstellingen;ak.si.dɑ̃.tɔ.ʒɛn
Hottentottententoonstelling;a.mɥis.mɑ̃
Hotton;ɔ.tɔ̃
Houdini;u.di.ni
Houet;uɛ
Houla;u.la
Houndé;un.de
Houtesiplou;utsiplu
Houthi;u.ti
Houthis;u.ti
Howicain;ɔ.wi.kɛ̃
Howicais;ɔ.wi.kɛ
Howickois;ɔ.wi.kwa
Hozjan;al.kɔ.lik
Hrærek;il.da
Hræreki;il.da
Hræreks;il.da
Hrærekur;il.da
Hrafn;il.da
Hrafnar;il.da
Hrafnari;il.da
Hrafnars;il.da
Hrafnberg;il.da
Hrafnbergi;il.da
Hrafnbergs;il.da
Hrafnbergur;il.da
Hrafnborg;il.da
Hrafnborgar;il.da
Hrafnborgu;il.da
Hrafney;il.da
Hrafnhildar;il.da
Hrafnhildi;il.da
Hrafnhildur;il.da
Hrafni;il.da
Hrafnkatla;il.da
Hrafnkatli;il.da
Hrafnkel;il.da
Hrafnkeli;il.da
Hrafnkell;il.da
Hrafnkels;il.da
Hrafnlaug;il.da
Hrafnlaugar;il.da
Hrafnlaugu;il.da
Hrafns;il.da
Hrafntinna;il.da
Hrafntinnu;il.da
Hranfeyjar;il.da
Hranfeyju;il.da
Hrannar;il.da
Hrannari;il.da
Hrannars;il.da
Hrapp;il.da
Hrappi;il.da
Hrapps;il.da
Hrappur;il.da
Hraunar;il.da
Hraunari;il.da
Hraunars;il.da
Hrefna;il.da
Hrefnu;il.da
Hreim;il.da
Hreimi;il.da
Hreims;il.da
Hreimur;il.da
Hrein;il.da
Hreini;il.da
Hreinn;il.da
Hreins;il.da
Hren;al.kɔ.lik
Hribar;al.kɔ.lik
Hribernik;al.kɔ.lik
Hring;il.da
Hrings;il.da
Hringur;il.da
Hrizip;al.kɔ.lik
Hrollaug;il.da
Hrollaugi;il.da
Hrollaugs;il.da
Hrollaugur;il.da
Hrolleif;il.da
Hrolleifi;il.da
Hrolleifs;il.da
Hrolleifur;il.da
Hrovat;al.kɔ.lik
Hrund;il.da
Hrundar;il.da
Hrvat;al.kɔ.lik
Hué;ɥɛ
Hubérien;y.be.ʁjɛ̃
Huberdois;y.bɛʁ.dwa
Hubert;y.bɛʁ
Hubertain;y.bɛʁ.tɛ̃
Hubertin;y.bɛʁ.tɛ̃
Huberto;al.kɔ.lik
Hubertois;y.bɛʁ.twa
Hudourniki;al.kɔ.lik
Hudson;yd.sɔn
Hue;y
Huga;il.da
Hugberg;il.da
Hugbergs;il.da
Hugbjargar;il.da
Hugbjartar;il.da
Hugborg;il.da
Hugborgar;il.da
Hugborgu;il.da
Hugi;il.da
Hugin;il.da
Huginn;il.da
Hugins;il.da
Hugleik;il.da
Hugleiki;il.da
Hugleiks;il.da
Hugleikur;il.da
Hugo;y.ɡo
Hugomir;al.kɔ.lik
Hugon;y.ɡɔ̃
Hugos;il.da
Hugues;yɡ
Huguette;y.ɡɛt
Huhn;is.tʁi.jɔ̃
Huisman;ɥis.mɑ̃
Huismans;ɥis.mɑ̃s
Hulda;il.da
Huldar;il.da
Huldari;il.da
Huldars;il.da
Huldu;il.da
Hulk;ylk
Hull;ɔl
Hullois;ɔ.lwa
Hulluchoise;y.ly.ʃwaz
Hulluchoises;y.ly.ʃwaz
Humanité;y.ma.ni.tɛ
Humanity;y.ma.ni.tɛ
Humar;al.kɔ.lik
Humbert;œ̃.bɛʁ
Humilité;y.mi.li.te
Hun;œ̃
Hund;is.tʁi.jɔ̃
Hunnu;u.nu
Huns;œ̃
Hunterstownais;ɔn.təʁz.tɔw.nɛ
Hupe;ɑ̃ʃ.lus
Hurensohn;a.ʒe
Huse;al.kɔ.lik
Husein;al.kɔ.lik
Husejin;al.kɔ.lik
Husnija;al.kɔ.lik
Huso;al.kɔ.lik
Hut;y.bi.kɥi.te
Hutoise;ɔ.tɔ.ne
Hutt;yt
Hutterisch;y.mɔ.ʁism
Hutu;u.tu
Hutus;u.tu
Huysman;ɥis.mɑ̃
Huysmans;ɥis.mɑ̃s
Hvala;al.kɔ.lik
Hvannar;il.da
Hvannari;il.da
Hvannars;il.da
Hydra;i.dʁa
Hydre;idʁ
Hydrogen;ɔ.mɔ.ni.mi.zə.ʁɛ
Hydrogenium;ɔ.mɔ.ni.mi.zə.ʁɛ
Hydrogennitrit;at.mi.djɔ.me.tʁi
Hydrus;an.ma.njɛn
Hydulphe;i.dylf
Hygie;i.ʒi
Hylti;il.da
Hyltir;il.da
Hyltis;il.da
Hypérion;i.pe.ʁjɔ̃
Hyperborée;i.pɛʁ.bo.ʁe
Hyperthermie;y.bi.kwit
Hypnos;ip.nos
Hypopyon;an
Hyposphagma;an
Hypoxie;a.ʁa.bɛs.ke
Hyrokkin;i.ʁɔ.kin
Hyrrokkin;i.ʁɔ.kin
Hysterie;o.ʁɔ.ʁa
hâblâmes;ɑb.lam
hâblât;ɑb.la
hâblâtes;ɑb.lat
hâblèrent;ɑb.lɛʁ
hâblé;ɑb.le
hâblée;ɑb.le
hâblées;ɑb.le
hâblés;ɑb.le
hâbla;ɑb.la
hâblai;ɑb.le
hâblaient;ɑb.lɛ
hâblais;ɑb.lɛ
hâblait;ɑb.lɛ
hâblant;ɑb.lɑ̃
hâblas;ɑb.la
hâblasse;ɑb.las
hâblassent;ɑb.las
hâblasses;ɑb.las
hâblassiez;ɑb.la.sje
hâblassions;ɑb.la.sjɔ̃
hâble;ɑbl
hâblent;ɑbl
hâbler;ɑb.le
hâblera;ɑb.lə.ʁa
hâblerai;ɑb.lə.ʁe
hâbleraient;ɑb.lə.ʁɛ
hâblerais;ɑb.lə.ʁɛ
hâblerait;ɑb.lə.ʁɛ
hâbleras;ɑb.lə.ʁa
hâblerez;ɑb.lə.ʁe
hâblerie;ɑb.lə.ʁi
hâbleriez;ɑb.lə.ʁje
hâblerions;ɑb.lə.ʁjɔ̃
hâblerons;ɑb.lə.ʁɔ̃
hâbleront;ɑb.lə.ʁɔ̃
hâbles;ɑbl
hâbleur;ɑb.lœʁ
hâblez;ɑb.le
hâbliez;ɑb.li.je
hâblions;ɑb.li.jɔ̃
hâblons;ɑb.lɔ̃
hâlâmes;ɑ.lam
hâlât;ɑ.la
hâlâtes;ɑ.lat
hâlèrent;ɑ.lɛʁ
hâlée;ɑ.le
hâlées;ɑ.le
hâlés;ɑ.le
hâla;ɑ.la
hâlait;ɑ.lɛ
hâlant;ɑ.lɑ̃
hâlas;ɑ.la
hâlasse;ɑ.las
hâlassent;ɑ.las
hâlasses;ɑ.las
hâlassiez;ɑ.la.sje
hâlassions;ɑ.la.sjɔ̃
hâle;ɑl
hâlent;ɑl
hâlera;ɑ.lə.ʁa
hâlerai;ɑ.lə.ʁe
hâleraient;ɑ.lə.ʁɛ
hâlerais;ɑ.lə.ʁɛ
hâlerait;ɑ.lə.ʁɛ
hâleras;ɑ.lə.ʁa
hâlerez;ɑ.lə.ʁe
hâleriez;ɑ.lə.ʁje
hâlerions;ɑ.lə.ʁjɔ̃
hâlerons;ɑ.lə.ʁɔ̃
hâleront;ɑ.lə.ʁɔ̃
hâliez;ɑ.lje
hâlions;ɑ.ljɔ̃
hâloir;ɑ.lwaʁ
hâlons;ɑ.lɔ̃
hâtâmes;ɑ.tam
hâtât;ɑ.ta
hâtâtes;ɑ.tat
hâtèrent;ɑ.tɛʁ
hâté;ɑ.te
hâtée;ɑ.te
hâtées;ɑ.te
hâtés;ɑ.te
hâta;ɑ.ta
hâtai;ɑ.te
hâtais;ɑ.tɛ
