Bâle;bɑl
Bastognards;bas.tɔ.njaʁ
Bastogne;bas.tɔɲ
Batave;ba.tav
Bataves;ba.tav
Batavie;ba.ta.vi
Batgirl;bat.ɡœʁl
Bathili;ba.ti.li
Bathily;ba.ti.li
Bathonien;ba.tɔ.njɛ̃
Batié;ba.tje
Batilly;ba.ti.ji
Batiscan;ba.tis.kɑ̃
Batiscanais;ba.tis.ka.nɛ
Batiscannais;ba.tis.ka.nɛ
Batistois;ba.tis.twa
Batman;bat.man
Batmobiles;bat.mɔ.bil
Batochien;ba.tɔ.ʃjɛ̃
Batwomans;bat.wu.man
Batzen;bats
Baug;bɑ̃.bi
Baugi;bɑ̃.bi
Baugs;bɑ̃.bi
Baugur;bɑ̃.bi
Bauju;bɔ.ʒy
Baulne;boln
Baulnois;bol.nwa
Baulnoise;bol.nwaz
Baulnoises;bol.nwaz
Baulois;bo.lwa
Bauloise;bo.lwaz
Bauloises;bo.lwaz
Baumwolle;bɛ.na
Bauquay;bo.kɛ
Bauwerk;bɛ.na
Bavarion;ba.nɔ̃
Bavarois;ba.va.ʁwa
Bavaroise;ba.va.ʁwaz
Bavaroises;ba.va.ʁwaz
Bavay;ba.vɛ
Bavent;ba.vɑ̃
Baventais;ba.vɑ̃.tɛ
Bavière;ba.vjɛʁ
Bawer;bɔ.ɛʁ
Bayeux;ba.jø
Bayolais;ba.jɔ.lɛ
Bayollais;ba.jɔ.lɛ
Bayonnais;ba.jɔ.nɛ
Bayonnaise;ba.jɔ.nɛz
Bayonnaises;ba.jɔ.nɛz
Bayonne;ba.jɔn
Bayrou;baj.ʁu
Bazétois;ba.ze.twa
Bazenville;ba.zɑ̃.vil
Bazin;ba.zɛ̃
Bazocain;ba.zɔ.kɛ̃
Bazocaine;ba.zɔ.kɛn
Bazocaines;ba.zɔ.kɛn
Bazocains;ba.zɔ.kɛ̃
Bazochéen;ba.zɔ.ʃe.ɛ̃
Bazochéenne;ba.zɔ.ʃe.ɛn
Bazochéennes;ba.zɔ.ʃe.ɛn
Bazochéens;ba.zɔ.ʃe.ɛ̃
Bazochiens;ba.zɔ.ʃiɛ̃
Bea;be.a
Beauçois;bo.swa
Beauce;bos
Beauceron;bos.ʁɔ̃
Beaucerons;bos.ʁɔ̃
Beaucevillois;bos.vi.lwa
Beauchênois;bo.ʃɛ.nwa
Beauchênoise;bo.ʃɛ.nwaz
Beauchênoises;bo.ʃɛ.nwaz
Beauchamp;bo.ʃɑ̃
Beauchasseur;bo.ʃa.sœʁ
Beaudettois;bo.dɛ.twa
Beaudryen;bo.dʁi.ɛ̃
Beaufai;bo.fɛ
Beaufay;bo.fɛ
Beaufilois;bo.fi.lwa
Beaufort;bo.fɔʁ
Beaufortain;bo.fɔʁ.tɛ̃
Beaugarthois;bo.ɡaʁ.twa
Beaugency;bo.ʒɑ̃.si
Beauharlinois;bo.aʁ.li.nwa
